eyecolor	count(1)
Brown	301599
Blue	145315
Green	57608
Hazel	55395
Gray	5188
Other	4464
Blue/Green	2314
Black	1379
Grey	1015
Blue-Green	358
Grey-Green	62
Light brown	56
dark brown	49
grey-blue	40
hazel green	23
Blue green	22
Baby blue	20
hazel brown	18
blue/grey	17
blue eyes	17
green eyes	13
cafes claro	12
Hazel/green	11
cafes	11
hazle	10
electric blue	10
green/hazel	10
ice blue	9
Blue eyed blonde	9
green!	9
bright blue	9
Greenish blue	9
light blue	9
gorgeous big blue/grey eyes	8
brwn	8
Green/blue	7
marrón	7
Red	6
Blue gray	6
deep blue	6
Green.	6
Seductive blue	6
blueish greenish	6
brown eyes	6
â˜…ã€ SiMpâ„“y* THE * BeSt* ã€‘	6
Brown eye	5
Gorgeous green	5
hazel-green	5
green blue	5
blue grey	5
Blue/gray	5
dark green	5
Sparkling Blue	5
Brow	4
Dark Blue	4
golden	4
beautiful blue	4
brown.	4
blu	4
blue with a tint of green	4
crystal blue	4
Coffee brown	4
br	4
Blue/gray/green	4
I Possess The Qualities Of The Perfect Playmate. I'm going to leave You Feeling Completely Satisfied.	4
Honey Brown	3
deep brown	3
sexy green bedroom eyes	3
Beautiful hazel	3
Sky blue	3
Hazel eyes	3
come look	3
blue green grey	3
dark	3
dk brown	3
blue but turn grey	3
blue yellow	3
CALL NOW 7814720943	3
Hi I LOVE to PLEASE!! I am a 100% INDEPENDENT, FUN, FRIENDLY and OPEN MINDED ADULT PLAYMATE. My PICTURE is VERY RECENT just call....	3
Smile That Lights Up A Room	3
blonde	2
blue seductive eyes	2
grey eyes	2
greeneyes	2
café	2
haizle	2
Sexy Ass Hazel Green Bedroom	2
Medium Brown	2
greenish	2
Emerald green	2
blur	2
blue.	2
grey/green	2
blue \\grey	2
Light Green	2
Brown, hazel	2
blue'ish	2
chocolate brown	2
Red For Sex	2
white	2
BABY BLUES	2
pale green	2
green, glasses	2
Lt Green	2
bedroom eyes	2
varies	2
Grey Blue	2
changes from gold to green.	2
brn	2
Green/ hazel	2
bedroom	2
blue - grey	2
brown (wear glasses)	2
blue/greenish	2
browm	2
sparkling green	2
blue but they turn grey	2
Hazel, Green	2
bl	2
Green-Blue	2
beautiful	2
chestnut brown	2
brown-green	2
Grn	2
Dark brown/black	2
<!DOCTYPE html>	2
Green color	1
green-brown	1
beautiful green eyes	1
any	1
crystal beautiful green eyes	1
Golden Brown	1
hale	1
drk brown	1
Blue or Green	1
ok	1
Cat eyes	1
double surprise	1
Purple	1
café claro	1
green brown	1
greyish	1
changing but predominantly green	1
Blue Eyed	1
Pale blue	1
Sultry brown	1
Hazel Green Bedroom	1
Green Heterochromia	1
emerald	1
Turquoise	1
Large Dark Brwn	1
AMBERISH GOLDEN	1
green hazel	1
light blu green	1
skyblue	1
big and dark	1
Greenish hazel	1
nugget green	1
Drk brwn	1
blow	1
does it matter?	1
hazzle	1
color miel	1
Bluish green	1
blue ish green	1
light brown almost hazel	1
blue?	1
mine r green	1
Beautiful, Hazel	1
big baby blues	1
Ice Blue/Grey	1
Greeen	1
Brown :)	1
Red 4 Sex	1
very sexy blue eyes	1
green, blue but idc	1
Bright blu	1
Hazel/gray	1
my eyes change color	1
Blue-grey	1
Blue/grn	1
Green with brown depending on mood	1
big beautiful blue	1
my seductive light chestnut brown e	1
blue purple green red and black	1
crystal blue grey	1
Sparking Blue	1
brown, long eye lashes	1
Sea Green	1
the most beautiful green eyes you e	1
ravishing	1
Green-brownish	1
gorgeous	1
Brawon	1
Amber	1
pretty	1
brown/green	1
Blue with green swirls	1
seductive emerald green	1
bby blue	1
1 brown 1 blue	1
Brown and hungry 2 see u deep in me	1
blue green gray	1
Hazel green like cat eyes	1
blue sometimes green	1
Bluish greenish	1
Gray-Blue	1
hazel/ green	1
blue, green, grey	1
blue green brown	1
HZL	1
icy blue	1
Caucasian	1
ocean green	1
you tell me	1
maple brown	1
BIG BROWN	1
bllue	1
green/blue/grey	1
Aqua	1
Multi colored	1
blue, green	1
blue-hazel	1
Bluish grey	1
ocean bue	1
blue grey green	1
whght	1
both blue	1
bambi brown	1
emerald tigers eyes	1
blue with flecks of gray	1
bluish	1
Changes	1
Most important: Not red!	1
blue eyed beaut	1
hazel/gold	1
verdes	1
Azul	1
chocolate ;-)	1
hazel\\green	1
negros	1
blue &amp; brown	1
Blue/green - they change &#128521;	1
cafÃ©s	1
Lime green	1
mine are blue	1
alluring blue	1
brown dark	1
dark black	1
Hazel-Brown	1
blonde/blue, 140	1
blue green n grey	1
green.blue	1
Coffee brown eyes	1
very green	1
hlue	1
brown - Green	1
big brown bedroom eyes	1
baby blue and green	1
D brown	1
brown almost black	1
blue like glass	1
blue/gree	1
Lt Hazel Brown Cat Eyes	1
Sea blue	1
Hazel and Brown	1
changes depending on mood	1
Dark brown.	1
hazel-4 colors	1
Hazel green eyes	1
teal	1
brw	1
sexy   bedroom  eyes	1
Stunning blue	1
eyes	1
Gray blue	1
blue, I also have freckles	1
one green, one blue	1
Changes colors	1
very dark brown	1
bedroom eyes (hazel)	1
blue cat eyes	1
grn/blue	1
hazle and blue	1
dark chocolate brown w/ gold flecks	1
brown babyyy	1
chestnut	1
light	1
Sunny brown	1
hazel (brown/green)	1
They change	1
grey green	1
hazel, amber starburst	1
seductive green	1
Green/grey	1
german blue	1
Deep Green-hazel	1
i have brown eyes	1
bl/gr	1
blue or green only	1
Blue/Green (They Change)	1
Brown (wears glasses)	1
Unusual Green	1
Green/blue/hazel	1
Pure green	1
Bright Green	1
i got baby blue eyes	1
hzel	1
oyster / changes	1
hazel.	1
green n blue	1
blue/grey/green	1
must be blue	1
gray eyes	1
Blue / grey	1
hazel blue they change colors	1
Dark Carmel Brown	1
dark br	1
green/brown eyes	1
hazelnut	1
blue baby blue at that	1
blue. green. brown and grey	1
they change grey blue-deep blue	1
Dyp blå	1
420 COLOR	1
Hazel/blue	1
rare blue	1
&#38738;&#12356;	1
bedroom eyes!!!	1
black-but I wear contacts	1
Very Blue	1
Gr/blue	1
Blue/Blue Green	1
green, blue, Brown	1
blue bedroom eyes	1
green id	1
green/gold/blue	1
True green	1
Oh baby blue	1
hazel/blue green	1
Green eye	1
big brown eyes	1
green sometimes blue	1
Very dark brown...	1
Brown w/ glasses	1
Grayish blue	1
brwn or blue jus depends	1
very light yellowish brown	1
blue :)	1
vibrant blue	1
gorgeous big blue/grey eyes!	1
Ligth brown	1
And  The  Finest * Awesome  Ass   !!	1
