haircolor	count(1)
Brown	245677
Black	220549
Blonde	202891
red	30773
Brunette	14109
dark brown	13940
Light brown	10451
Other	7520
auburn/red	2575
Auburn	2452
Dirty Brown	1673
Auburn / Red	829
Strawberry Blonde	771
chestnut	184
long	163
Blond	142
Long brown	71
long blonde	47
dirty blonde	40
dark	33
long black	32
Long dark	23
grey	22
reddish brown	21
long dark brown	21
Short	19
redhead	18
Long brown hair	18
curly	16
long brunette	16
long and black	15
Long and Brown	13
Dark blonde	13
blk	13
negro	13
long, light brown	12
rubio	12
dark auburn	12
long, brown	10
Very long	10
long red	9
Long Blonde hair	9
Gray/White	9
dark red	8
long straight blonde hair	8
black long hair	7
long black hair	7
redish brown	7
long hair	7
long and sexy	6
natural	6
Long dark curly	6
Red/auburn	6
natural redhead	6
Brown/red	6
long strawberry blonde	6
red hair	6
long dark hair	6
castaño	6
blonde/brown	6
Blondish	6
Brown &amp; Medium-Long	6
Short and brown	6
Long curly	5
White	5
Natural Red	5
Red, curly, long	5
brown/blonde	5
platinum blonde	5
Dk brown	5
Purple, but naturally brown	5
short brown	5
Jet black	5
long curly brown	5
blue	5
red head	5
dirty blond	5
brown, long	5
long curly blonde	5
purple	5
long and dark	5
Shaved	5
long blond	5
longish	5
strawberry/blonde	4
Dark shoulder length	4
dark long	4
black waist length	4
Short blonde	4
long, dark	4
long, brunette	4
Strawberry	4
brunette, long	4
burgundy	4
Shaved pussy	4
bright red	4
Blonde.	4
very long and red	4
yes	4
Largue	4
Long curly brown hair	4
brown long	4
Very long black hair	4
blonde hair	4
blonde and brown	3
long light brown	3
Dark blond	3
light brown/blonde	3
beautiful	3
Reddish Blonde	3
Long &amp; black	3
Ash Blonde	3
Long, reddish blonde	3
BROWN WITH BLONDE HIGHLIGHTS	3
dark hair	3
curly dark brown	3
long and red	3
long auburn	3
blo	3
Long flowing locks	3
Brazen Brunette	3
wavy	3
Long brown curly	3
Long, Dark, Curly	3
Shoulder length blonde	3
blonde and long	3
red n black	3
Brunette with blonde highlights	3
Dyed red	3
Bleached	3
light and dark brown	3
Very long straight black hair	3
Long, black	3
Trimmed	3
sandy blonde	3
brown, curly	3
mixed	3
Long Brunette Hair	3
Red Curls	3
long n auburn brown	3
Brown medium length	3
short blond	3
beautiful red hair and full lips	3
long straight blonde	3
Red/Brown	3
long curly or straight	3
Soft White Skin long legs With A Bubble!	3
None	2
Long black straight	2
Red Ombre	2
green	2
smokey black hair	2
Red, shoulder-length	2
long and blond	2
wavy brown	2
Raven	2
Long, dark brown	2
brown, long, wavy, pretty, natural	2
Long and straight	2
down to butt	2
long, dirty blonde	2
Red, Long	2
redish	2
red and black	2
rizado	2
platinum	2
Brown and long	2
brownish blonde	2
dirty blonde, past shoulders	2
to my ass	2
curly black	2
Skulderlangt brunt	2
dark brown/black	2
Chocolate brown	2
shoulder length black	2
Drk brown	2
long, curly	2
Sort	2
ever changing	2
blonde (I wear wigs sometimes too)	2
Black and red	2
natural blonde	2
Long, Straight and Light Brown	2
red long hair	2
Ginger	2
blonde(golden)	2
brown, shoulder length	2
short/brown	2
Blonde, long	2
shaved clean	2
Natural red head	2
blonde and curly	2
Long, Blonde	2
short, brunette	2
Long with highlights	2
long and blonde	2
Light/Dark Brown	2
SHORT CURLY	2
loooong	2
curly dark	2
dyed blonde	2
long &amp; brown	2
Blonde and Short	2
short, blonde	2
Light brown / short	2
pixie cut	2
red head and brunette	2
Hate hairy chests!	2
red and long	2
long and silky	2
Blonde &amp; long	2
pink	2
Long dark with hint of blue tint	2
Black long	2
Very long and brown	2
golden	2
Short, red	2
Black dyed red	2
red/blond	2
alburn	2
Burgandy	2
large,	2
dirty blonda	2
Long/Dark	2
strawberry blond	2
Dark brown short	2
Long/reddish brown	2
dark auburn/brown	2
Drapes: Long/Carpet: Smooth	2
black w/ blonde highlights	2
BR	2
Long/Black	2
burgendy	2
red/ long	2
dreadlocks	2
Waist long dark	2
btown	2
waist length red	2
Blond, long	2
long, brown, and curly	2
dark brown, shoulder length	2
BROWN/BLACK	2
black mid-back	2
blond/brown	2
Long &amp; Dirty Blond	2
shoulder length	2
long, wavy, black	2
Brown/Dirty Blonde	2
long and dirty blonde	2
medium length brownish	2
Long reddish brown	2
Round Booty	2
blackish brown	1
blond and brown	1
medium length strawberry blonde	1
black, shoulder length	1
orange	1
Naughty	1
No hair	1
shoulder length blond	1
some	1
I fried it oops	1
Afro	1
blonde/black	1
short, black	1
natural red bbjut whear many "hats"	1
long , brunette	1
SeXy black	1
long blonde hair / legs	1
gray	1
cleancut and close	1
short hair, brunette	1
Black shoulder length	1
Reddish/Brown	1
clean shaven	1
Blonde Bombshell	1
long thick red/brown hair	1
long brown and beautifull w/ spice	1
shldr lgth curly hair	1
shaved clean and tasty	1
Natural shoulder length	1
Dark brown-very long	1
dark short	1
very very long brunette	1
Bush	1
long curly and dark brown	1
Long &amp; Straight	1
black curli	1
med blonde	1
Brunette/long/curly	1
medium long brown auburn	1
chino largo	1
Longer now than in the pics	1
mixed clor..blnde brown	1
VERY LONG AUBUURN	1
blonde natural curly	1
long, ponytail	1
long enough to pull "gently"	1
brown,curly	1
brown\\brown	1
two toned	1
Shaved!!!	1
Blonde ask me	1
long dreadlocks	1
Short in curly	1
Mid lower back dark Auburn	1
brunette, v.short	1
Bright red/black	1
Brown W/Blonde&Red	1
long/wt 140	1
curly and long	1
red but dye it dark	1
dark curly	1
auburn, long, really curly	1
long n brown	1
Red :)	1
straight	1
Curly brown	1
long black and brown	1
Dark Brown, Short	1
red/gray	1
long dark brunnette	1
Fire Red	1
blonde / Brown	1
platnium blonde	1
long, red	1
Medium blonde hair	1
BROWNISH BLACK	1
Sleek an sexy strawberry blondj	1
shoulder length light brown	1
Long Straight Blonde Colored	1
short and dyed black	1
A little bit past the shoulders	1
Deep Red	1
blondish reddish brownish	1
Black/blonde	1
long ash blonde	1
Burnett	1
Medium/Long Blonde and Brown	1
None in my special place	1
long pullable	1
blonde and red	1
long blond with  touch of red	1
long/ dark brown	1
pixie/short	1
copper/brown	1
none in right places	1
Long and golden	1
hot hot pink	1
wavy and long	1
black brown	1
wavy, deep chesnut brown	1
blondeish brown	1
Long, dark brown, wavy	1
long brunnett	1
long &amp; brown.	1
brown + straight	1
natural dark  brown.	1
long/dark brown	1
very long luxurious ash blonde	1
Lon and dark	1
honeycomb	1
Dreads	1
I like getting it pulled :)	1
Redish-brown	1
none ;)	1
short or long but clean	1
short and dark	1
dark n long	1
dark browm	1
newly cherry brunette	1
long &amp; luxurious	1
long curly reddish	1
Curly/Brown	1
long/curly/burgandy	1
long wavy	1
Brown and curly	1
espresso	1
Brwb	1
natural red head; dyed blonde	1
dirty  blonde	1
fabulous	1
long (mid back length)	1
brown/dyed; I shave but busy somet	1
Black and long	1
natural dark blond	1
soft smelled good	1
long enough to pull on	1
Short natural brunette	1
Bleached with a blue streak	1
caramel	1
long espresso brown	1
Long brown and red	1
burgandy (not natural)	1
Soft And Sexxy	1
yes but like weaves and wigs	1
Black/long/wavy	1
mixed drk brn and grey.	1
Long thick burgandy	1
reddish	1
long luxurious ash blonde	1
short dark	1
mixed of black and bloond	1
brunette curls	1
Brunette,	1
red, shoulder length	1
medium length,  Brown	1
blondish red	1
medium straight dark	1
long drk brown black	1
dye'd different occationally	1
long and dyed RED	1
long and ready to be pulled	1
